method,lv,TP,FN,FP,recall,prec,csi
cut_glc,all,397,31,1,0.928,0.997,0.925
linear,all,411,17,4,0.96,0.99,0.951
rq,all,413,15,9,0.965,0.979,0.945
akima,all,416,12,11,0.972,0.974,0.948
pchip,all,417,11,8,0.974,0.981,0.956
rbf,all,418,10,15,0.977,0.965,0.944
polynomial_7,all,418,10,14,0.977,0.968,0.946
matern,all,419,9,14,0.979,0.968,0.948
cubicspline,all,419,9,13,0.979,0.97,0.95
polynomial_3,all,419,9,13,0.979,0.97,0.95
polynomial_5,all,420,8,13,0.981,0.97,0.952
cut_glc,lv1,236,28,20,0.894,0.922,0.831
rq,lv1,242,22,21,0.917,0.92,0.849
polynomial_7,lv1,242,22,20,0.917,0.924,0.852
cubicspline,lv1,243,21,20,0.92,0.924,0.856
polynomial_3,lv1,243,21,20,0.92,0.924,0.856
rbf,lv1,244,20,21,0.924,0.921,0.856
akima,lv1,244,20,19,0.924,0.928,0.862
polynomial_5,lv1,244,20,19,0.924,0.928,0.862
pchip,lv1,244,20,18,0.924,0.931,0.865
linear,lv1,244,20,18,0.924,0.931,0.865
matern,lv1,245,19,20,0.928,0.925,0.863
cut_glc,lv2,142,22,0,0.866,1.0,0.866
linear,lv2,150,14,3,0.915,0.98,0.898
rq,lv2,152,12,7,0.927,0.956,0.889
pchip,lv2,154,10,9,0.939,0.945,0.89
akima,lv2,156,8,8,0.951,0.951,0.907
cubicspline,lv2,157,7,12,0.957,0.929,0.892
polynomial_3,lv2,157,7,12,0.957,0.929,0.892
matern,lv2,157,7,11,0.957,0.935,0.897
polynomial_5,lv2,158,6,12,0.963,0.929,0.898
polynomial_7,lv2,158,6,12,0.963,0.929,0.898
rbf,lv2,158,6,10,0.963,0.94,0.908
